EventType,I,Nanoseconds
0,1,42125
0,2,7167
0,3,6333
0,4,8709
0,5,8958
0,6,8041
0,7,23958
0,8,9667
0,9,11208
0,10,9958
0,11,11042
0,12,2250
0,13,3459
0,14,6291
0,15,9584
0,16,9042
0,17,9917
0,18,12417
0,19,9833
0,20,750
0,21,625
0,22,4958
0,23,5458
0,24,6208
0,25,542
0,26,7416
0,27,542
0,28,6917
0,29,7583
0,30,9042
0,31,10792
0,32,9208
0,33,2625
0,34,625
0,35,2542
0,36,8125
0,37,9166
0,38,11500
0,39,6125
0,40,8167
0,41,708
0,42,625
0,43,4708
0,44,5167
0,45,6291
0,46,8333
0,47,7667
0,48,7833
0,49,8125
0,50,10292
0,51,9292
0,52,9667
0,53,12834
0,54,625
0,55,625
0,56,584
0,57,10542
0,58,12542
0,59,12375
0,60,5959
0,61,9875
0,62,625
0,63,625
1,1,12125
1,2,14000
1,3,16458
